SEED_RAST	IANT_BiGG	IANT_MNXR	IANT_KEGG	Sum
rxn00798	0	0	0	0
rxn04996	0	1	0	1
rxn00650	0	1	1	2
rxn00519	0	0	0	0
rxn00589	0	0	0	0
rxn11759	0	1	0	1
rxn07449	0	0	0	0
rxn00314	0	0	0	0
rxn00931	1	1	1	3
rxn02297	1	1	1	3
rxn00011	0	1	0	1
rxn00302	0	1	0	1
rxn00700	0	0	0	0
rxn00707	0	1	0	2
rxn00714	0	0	0	0
rxn00656	0	0	0	0
rxn11962	0	0	0	0
rxn02791	0	1	0	1
rxn03068	0	1	0	1
rxn05339	0	1	1	2
rxn03174	0	1	0	1
rxn05354	0	1	0	2
rxn03421	0	1	0	1
rxn02187	0	1	0	1
rxn06526	0	1	1	2
rxn03511	0	0	0	0
rxn02474	0	0	0	0
rxn12008	0	0	0	0
rxn03892	0	0	0	0
rxn03916	0	0	0	0
rxn00068	0	1	0	2
rxn04132	0	0	0	0
rxn04270	0	0	0	0
rxn04271	0	0	0	0
rxn04278	0	0	0	0
rxn02000	1	1	1	3
rxn04457	0	0	0	0
rxn04674	0	0	0	0
rxn04744	0	0	0	0
rxn04745	0	0	0	0
rxn07230	0	0	0	0
rxn07430	0	0	0	0
rxn07432	0	0	0	0
rxn07670	0	0	0	0
rxn07672	0	0	0	0
rxn07673	0	0	0	0
rxn07720	0	0	0	0
rxn07721	0	0	0	0
rxn07842	0	0	0	0
rxn01964	1	1	1	3
rxn03015	0	0	0	0
rxn03052	0	1	0	1
rxn01804	0	0	0	0
rxn03436	0	1	0	1
rxn02819	0	0	0	0
rxn05173	0	1	0	2
rxn00405	1	1	1	3
rxn02199	0	0	0	0
rxn05458	0	0	0	0
rxn00802	1	1	1	3
rxn01434	1	1	1	3
rxn00555	1	1	1	3
rxn00577	0	0	0	0
rxn01575	0	1	0	1
rxn01925	0	0	0	0
rxn02268	0	1	0	2
rxn02302	0	0	0	0
rxn02342	0	1	0	1
rxn02376	0	1	0	1
rxn02409	0	0	0	0
rxn02792	0	1	0	1
rxn03194	0	1	0	1
rxn03437	0	1	0	1
rxn03762	0	0	0	0
rxn05144	0	0	0	0
rxn05229	0	1	0	2
rxn05267	0	0	0	0
rxn05460	0	0	0	0
rxn05517	0	0	0	0
rxn05671	0	0	0	0
rxn06335	0	0	0	0
rxn06586	0	0	0	0
rxn07431	0	0	0	0
rxn07433	0	0	0	0
rxn07434	0	0	0	0
rxn07435	0	0	0	0
rxn07586	0	0	0	0
rxn09450	0	1	0	1
rxn09448	0	1	0	1
rxn08615	0	1	0	1
rxn08800	0	1	0	1
rxn08808	0	1	0	1
rxn08809	0	1	0	1
rxn08821	0	1	0	1
rxn09127	0	1	0	1
rxn09148	0	0	0	0
rxn09156	0	0	0	0
rxn09157	0	0	0	0
rxn09988	0	0	0	0
rxn09997	0	0	0	0
rxn10043	0	0	0	0
rxn10202	0	1	0	1
rxn10220	0	1	0	1
rxn10221	0	1	0	1
rxn10222	0	1	0	1
rxn10223	0	1	0	1
rxn10224	0	1	0	1
rxn10225	0	1	0	1
rxn10334	0	0	0	0
rxn10336	0	0	0	0
rxn10337	0	0	0	0
rxn10338	0	0	0	0
rxn10339	0	0	0	0
rxn10340	0	0	0	0
rxn10341	0	0	0	0
rxn10342	0	0	0	0
rxn01148	0	0	0	0
rxn12224	0	0	0	0
rxn12636	0	0	0	0
rxn12638	0	0	0	0
rxn12644	0	0	0	0
rxn12664	0	0	0	0
rxn13661	0	0	0	0
rxn01405	0	0	0	0
rxn01210	0	1	0	1
rxn05343	1	1	1	3
rxn05348	1	1	1	3
rxn05345	1	1	1	3
rxn05344	1	1	1	3
rxn05346	1	1	1	3
rxn05350	1	1	1	3
rxn11755	0	0	0	0
rxn00892	0	0	0	0
rxn05485	0	0	0	0
rxn00872	0	0	0	0
rxn02270	0	0	0	0
rxn02866	1	1	0	2
rxn01924	0	0	0	0
rxn06023	0	0	0	0
rxn01137	1	1	0	2
rxn03540	0	0	0	0
rxn03536	0	1	1	2
rxn03538	0	0	0	0
rxn00775	0	0	0	0
rxn00122	0	0	0	0
rxn01484	1	1	1	3
rxn01029	0	0	0	0
rxn08084	0	0	0	0
rxn08086	0	0	0	0
rxn08087	0	0	0	0
rxn08088	0	0	0	0
rxn08089	0	0	0	0
rxn02938	1	1	1	3
rxn02275	0	0	0	0
rxn01843	0	0	0	0
rxn02222	0	0	0	0
rxn00231	0	0	0	0
rxn03839	0	0	0	0
rxn00726	0	1	0	1
rxn05256	0	0	0	0
rxn05092	0	0	0	0
rxn00342	1	1	0	2
rxn10042	1	1	0	2
rxn08180	1	1	0	2
rxn05029	1	1	1	3
rxn10147	0	0	0	0
rxn00853	0	0	0	0
rxn10474	0	0	0	0
rxn00730	0	0	0	0
rxn04052	0	0	0	0
rxn00113	0	0	0	0
rxn00717	0	0	0	0
rxn00410	1	1	0	2
rxn03535	1	1	1	3
rxn00566	0	1	0	1
rxn05733	0	1	0	1
rxn01368	0	0	0	0
rxn08291	1	1	0	2
rxn01858	0	1	0	1
rxn08297	1	1	0	2
rxn08307	1	1	0	2
rxn08309	1	1	0	2
rxn08311	1	1	0	2
rxn01672	0	0	0	0
rxn00407	0	0	0	0
rxn01800	0	0	0	0
rxn06728	0	0	0	0
rxn00055	0	0	0	0
rxn02475	0	0	0	0
rxn03080	1	0	0	1
rxn00539	1	1	0	2
rxn02576	0	0	0	0
rxn05466	0	0	0	0
rxn08433	0	0	0	0
rxn08438	0	0	0	0
rxn01754	0	0	0	0
rxn00549	1	1	1	3
rxn08521	0	0	0	0
rxn00689	1	1	1	3
rxn00288	1	1	0	2
rxn05560	0	0	0	0
rxn08550	1	1	0	2
rxn08551	1	1	0	2
rxn08552	1	1	0	2
rxn00616	0	1	0	1
rxn00552	0	0	0	0
rxn02380	0	1	0	1
rxn00187	1	1	0	2
rxn00189	0	1	0	1
rxn06600	1	1	0	2
rxn00182	0	0	0	0
rxn03406	0	1	0	1
rxn03407	0	1	0	1
rxn03409	0	1	0	1
rxn03046	0	0	0	0
rxn01802	0	0	0	0
rxn00908	1	1	0	2
rxn01225	0	0	0	0
rxn08712	0	0	0	0
rxn08713	0	0	0	0
rxn00867	0	0	0	0
rxn00060	0	1	0	1
rxn00015	0	0	0	0
rxn03435	0	1	0	1
rxn05347	1	1	1	3
rxn01053	0	0	0	0
rxn01643	1	1	1	3
rxn08820	1	1	0	2
rxn08822	1	1	0	2
rxn00559	1	1	1	3
rxn00721	0	0	0	0
rxn01025	0	0	0	0
rxn06077	0	0	0	0
rxn08971	1	0	0	1
rxn08975	1	0	0	1
rxn10122	1	1	0	2
rxn00138	0	0	0	0
rxn00568	0	1	0	1
rxn00569	0	1	0	1
rxn05239	1	1	1	3
rxn03512	0	0	0	0
rxn00545	0	0	0	0
rxn04043	0	0	0	0
rxn00558	1	1	1	3
rxn01315	0	0	0	0
rxn04453	0	1	0	2
rxn09124	1	1	0	2
rxn09126	1	1	0	2
rxn09128	1	1	0	2
rxn09145	0	0	0	0
rxn09147	0	0	0	0
rxn09149	0	0	0	0
rxn02937	1	1	1	3
rxn03147	1	1	1	3
rxn00932	0	0	0	0
rxn09188	0	0	0	0
rxn09197	1	1	0	2
rxn09201	1	1	0	2
rxn00655	0	0	0	0
rxn11726	0	0	0	0
rxn00208	1	1	0	2
rxn00048	1	1	1	3
rxn05231	1	1	1	3
rxn05233	1	1	1	3
rxn06076	1	1	1	3
rxn06075	1	1	1	3
rxn03886	0	0	0	0
rxn00165	1	1	0	2
rxn00740	0	1	0	1
rxn10126	0	0	0	0
rxn00623	0	1	1	2
rxn00737	0	0	0	0
rxn01333	1	1	1	3
rxn05289	1	1	1	3
rxn09296	0	0	0	0
rxn00785	1	1	0	2
rxn03842	0	1	0	1
rxn00101	0	0	0	0
rxn01199	1	1	1	3
rxn06453	0	0	0	0
rxn03289	0	0	0	0
rxn00847	0	0	0	0
rxn00678	0	0	0	0
rxn01066	0	0	0	0
rxn03365	0	0	0	0
rxn05814	0	0	0	0
rxn00550	0	0	0	0
rxn06060	0	0	0	0
rxn01457	0	1	0	1
rxn06098	0	0	0	0
rxn06099	0	0	0	0
rxn01995	0	0	0	0
rxn02359	0	0	0	0
rxn02360	0	0	0	0
rxn02362	0	0	0	0
rxn02391	0	0	0	0
rxn06394	0	0	0	0
rxn02821	0	0	0	0
rxn07438	0	0	0	0
rxn06647	0	0	0	0
rxn03094	0	0	0	0
rxn03095	0	0	0	0
rxn06735	0	0	0	0
rxn06759	0	0	0	0
rxn06760	0	0	0	0
rxn03185	0	0	0	0
rxn03236	0	0	0	0
rxn03366	0	0	0	0
rxn03419	0	1	0	1
rxn03463	0	0	0	0
rxn03465	0	0	0	0
rxn03467	0	0	0	0
rxn06864	0	1	0	1
rxn03644	0	0	0	0
rxn03872	0	0	0	0
rxn11946	0	1	1	2
rxn03951	0	0	0	0
rxn07099	0	0	0	0
rxn07100	0	0	0	0
rxn04413	0	1	1	2
rxn00346	1	1	1	3
rxn12013	0	0	0	0
rxn05034	0	0	0	0
rxn05116	0	0	0	0
rxn05126	0	0	0	0
rxn01018	1	1	1	3
rxn07841	0	0	0	0
rxn00428	0	0	0	0
rxn11715	0	0	0	0
rxn11801	0	0	0	0
rxn12052	0	0	0	0
rxn14256	0	0	0	0
rxn13971	0	0	0	0
rxn04938	0	1	1	2
rxn00337	1	1	1	3
rxn01270	0	1	0	1
rxn07454	0	0	0	0
rxn04070	0	1	1	2
rxn00771	0	0	0	0
rxn10151	0	0	0	0
rxn05012	0	1	1	2
rxn12206	0	0	0	0
rxn05872	0	1	0	1
rxn00532	0	0	0	0
rxn03915	0	0	0	0
rxn10204	0	1	0	1
rxn00792	1	1	0	2
rxn00007	0	1	0	1
rxn00012	0	0	0	0
rxn00022	0	0	0	0
rxn00216	0	1	0	1
rxn00223	0	1	0	1
rxn00495	0	0	0	0
rxn00575	0	0	0	0
rxn00633	0	0	0	0
rxn00742	0	1	0	1
rxn00794	0	0	0	0
rxn00804	0	0	0	0
rxn00816	0	0	0	0
rxn01044	0	1	0	1
rxn01045	0	0	0	0
rxn01051	0	0	0	0
rxn01171	0	1	0	1
rxn01547	0	0	0	0
rxn01573	0	0	0	0
rxn01635	0	0	0	0
rxn01640	0	0	0	0
rxn02090	0	0	0	0
rxn02131	0	0	0	0
rxn02182	0	0	0	0
rxn02695	0	0	0	0
rxn02696	0	0	0	0
rxn00653	0	1	0	1
rxn03323	0	0	0	0
rxn03402	0	1	0	1
rxn03487	0	0	0	0
rxn03488	0	0	0	0
rxn03848	0	0	0	0
rxn03849	0	0	0	0
rxn03869	0	0	0	0
rxn04133	0	0	0	0
rxn05147	0	0	0	0
rxn05226	0	0	0	0
rxn05673	0	0	0	0
rxn05778	0	0	0	0
rxn05779	0	0	0	0
rxn05948	0	0	0	0
rxn06403	0	1	0	1
rxn06750	0	0	0	0
rxn06752	0	0	0	0
rxn06823	0	1	0	1
rxn07056	0	1	0	1
rxn08126	0	0	0	0
rxn08127	0	0	0	0
rxn08128	0	0	0	0
rxn08129	0	0	0	0
rxn08294	0	1	0	1
rxn08295	0	1	0	1
rxn08296	0	1	0	1
rxn08298	0	1	0	1
rxn08299	0	1	0	1
rxn08300	0	1	0	1
rxn10116	0	0	0	0
rxn08618	0	0	0	0
rxn08803	0	1	0	1
rxn08805	0	1	0	1
rxn08807	0	1	0	1
rxn08810	0	1	0	1
rxn08811	0	1	0	1
rxn08812	0	1	0	1
rxn08813	0	1	0	1
rxn08814	0	1	0	1
rxn08815	0	1	0	1
rxn08838	0	1	0	1
rxn08840	0	1	0	1
rxn08842	0	1	0	1
rxn08844	0	1	0	1
rxn08845	0	1	0	1
rxn08846	0	1	0	1
rxn08847	0	1	0	1
rxn08848	0	1	0	1
rxn08849	0	1	0	1
rxn08850	0	1	0	1
rxn08851	0	1	0	1
rxn09130	0	1	0	1
rxn09132	0	1	0	1
rxn09134	0	1	0	1
rxn09136	0	1	0	1
rxn09137	0	1	0	1
rxn09138	0	1	0	1
rxn09139	0	1	0	1
rxn09140	0	1	0	1
rxn09141	0	1	0	1
rxn09142	0	1	0	1
rxn09143	0	1	0	1
rxn09151	0	0	0	0
rxn09153	0	0	0	0
rxn09154	0	0	0	0
rxn09155	0	0	0	0
rxn09158	0	0	0	0
rxn09159	0	0	0	0
rxn09160	0	0	0	0
rxn09161	0	0	0	0
rxn09162	0	0	0	0
rxn09163	0	0	0	0
rxn09199	0	1	0	1
rxn09225	0	0	0	0
rxn00992	0	0	0	0
rxn09978	0	1	0	1
rxn09979	0	1	0	1
rxn10060	0	0	0	0
rxn10211	0	0	0	0
rxn10212	0	0	0	0
rxn10213	0	0	0	0
rxn10335	0	0	0	0
rxn11612	0	0	0	0
rxn11749	0	0	0	0
rxn12845	0	0	0	0
rxn01867	1	1	1	3
rxn01868	1	1	0	2
rxn01682	1	1	1	3
rxn00741	0	0	0	0
rxn00137	1	1	1	3
