SEED_RAST	IANT_BiGG	IANT_MNXR	IANT_KEGG	Sum
rxn05410	0	0	0	0
rxn05412	0	0	0	0
rxn05414	0	0	0	0
rxn01011	0	1	0	1
rxn05416	0	0	0	0
rxn05418	0	0	0	0
rxn05420	0	0	0	0
rxn05422	0	0	0	0
rxn05424	0	0	0	0
rxn05426	0	0	0	0
rxn05428	0	0	0	0
rxn05430	0	0	0	0
rxn05432	0	0	0	0
rxn01274	0	1	1	2
rxn05461	0	0	0	0
rxn05463	0	0	0	0
rxn05501	0	0	0	0
rxn05582	0	0	0	0
rxn05614	0	0	0	0
rxn05722	0	0	0	0
rxn03919	0	0	0	0
rxn05735	0	0	0	0
rxn03360	0	0	0	0
rxn01115	1	1	1	3
rxn01275	0	0	0	0
rxn00758	1	1	1	3
rxn01073	1	1	1	3
rxn00086	0	1	1	2
rxn00351	0	1	1	2
rxn00299	1	1	1	3
rxn00300	0	1	1	2
rxn01462	0	0	0	0
rxn01080	1	1	1	3
rxn00102	1	1	1	3
rxn05319	0	0	0	0
rxn10194	0	0	0	0
rxn10195	0	0	0	0
rxn10196	0	0	0	0
rxn10203	0	1	0	1
rxn10205	0	1	0	1
rxn10206	0	1	0	1
rxn10207	0	1	0	1
rxn10208	0	1	0	1
rxn10209	0	1	0	1
rxn10210	0	1	0	1
rxn10214	0	0	0	0
rxn10215	0	0	0	0
rxn10216	0	0	0	0
rxn10217	0	0	0	0
rxn10218	0	0	0	0
rxn10219	0	0	0	0
rxn10226	0	0	0	0
rxn10227	0	0	0	0
rxn10228	0	0	0	0
rxn10229	0	0	0	0
rxn10230	0	0	0	0
rxn10231	0	0	0	0
rxn10232	0	1	0	1
rxn10233	0	1	0	1
rxn10234	0	1	0	1
rxn10235	0	1	0	1
rxn10236	0	1	0	1
rxn10237	0	1	0	1
rxn10253	0	1	0	1
rxn10254	0	1	0	1
rxn10255	0	1	0	1
rxn10256	0	1	0	1
rxn10257	0	1	0	1
rxn10258	0	1	0	1
rxn10259	0	1	0	1
rxn10260	0	1	0	1
rxn10261	0	1	0	1
rxn10262	0	1	0	1
rxn10263	0	1	0	1
rxn10264	0	1	0	1
rxn10265	0	0	0	0
rxn10266	0	0	0	0
rxn01451	0	0	0	0
rxn03249	0	1	0	2
rxn03246	0	1	0	2
rxn03244	0	0	0	0
rxn03242	0	0	0	0
rxn06777	0	0	0	0
rxn03239	0	0	0	0
rxn11268	0	0	0	0
rxn02933	0	0	0	0
rxn06037	0	0	0	0
rxn11944	0	1	0	2
rxn00452	0	1	0	1
rxn08703	0	0	0	0
rxn10162	0	0	0	0
rxn08710	0	0	0	0
rxn08711	0	0	0	0
rxn00975	0	0	0	0
rxn01825	0	1	0	2
rxn01480	1	1	0	2
rxn12844	0	0	0	0
rxn12846	0	0	0	0
rxn12847	0	0	0	0
rxn00866	0	0	0	0
rxn00859	1	1	1	3
rxn02160	0	0	0	0
rxn01930	0	1	0	2
rxn10168	0	1	0	2
rxn00991	0	0	0	0
rxn01117	1	1	1	3
rxn01014	0	0	0	0
rxn01013	0	1	0	1
rxn00988	0	1	0	2
rxn01301	0	0	0	0
rxn01302	0	0	0	0
rxn01303	0	0	0	0
rxn01300	1	1	1	3
rxn01297	0	0	0	0
rxn05201	0	0	0	0
rxn00192	0	0	0	0
rxn00469	0	0	0	0
rxn00973	1	1	1	3
rxn01388	1	1	1	3
rxn01637	1	1	1	3
rxn01257	0	1	1	2
rxn00394	0	1	0	2
rxn10131	0	0	0	0
rxn02473	0	0	0	0
rxn02507	0	0	0	0
rxn00649	0	1	1	2
rxn02853	0	0	0	0
rxn00832	0	1	0	2
rxn00834	1	1	1	3
rxn05316	0	0	0	0
rxn03062	1	1	1	3
rxn02811	1	1	1	3
rxn02789	1	1	1	3
rxn00902	0	1	1	2
rxn00193	0	0	0	0
rxn00085	1	1	1	3
rxn05297	0	0	0	0
rxn05298	0	0	0	0
rxn00404	0	0	0	0
rxn00350	0	1	0	2
rxn02320	1	1	1	3
rxn00505	1	1	1	3
rxn00336	1	1	1	3
rxn03135	0	0	0	0
rxn02404	1	1	1	3
rxn02331	0	1	1	2
rxn00806	1	1	1	3
rxn01438	0	1	0	2
rxn05206	0	0	0	0
rxn00375	0	0	0	0
rxn03445	1	1	0	2
rxn00470	0	1	0	2
rxn00467	0	1	0	2
rxn00499	0	0	0	0
rxn00493	0	1	1	2
rxn02914	1	1	1	3
rxn00183	0	0	0	0
rxn01834	0	1	1	2
rxn03087	0	1	0	2
rxn02944	0	1	1	2
rxn00527	0	1	1	2
rxn00903	1	1	0	2
rxn00260	1	1	1	3
rxn01603	0	1	0	1
rxn08796	1	1	0	2
rxn08797	1	1	0	2
rxn00412	1	1	1	3
rxn00917	1	1	1	3
rxn00727	1	1	1	3
rxn03433	0	0	0	0
rxn08804	0	1	0	1
rxn00179	1	1	1	3
rxn08806	0	1	0	1
rxn01641	0	0	0	0
rxn02949	1	1	1	3
rxn00646	0	1	0	2
rxn00190	0	0	0	0
rxn00416	1	1	1	3
rxn00414	1	1	1	3
rxn08839	0	1	0	1
rxn01639	0	0	0	0
rxn00484	0	0	0	0
rxn00320	0	0	0	0
rxn05305	0	0	0	0
rxn03060	0	0	0	0
rxn01851	1	1	1	3
rxn02339	0	0	0	0
rxn01215	0	1	0	2
rxn02429	1	1	1	3
rxn00181	0	0	0	0
rxn00330	0	1	1	2
rxn05170	0	1	0	2
rxn05607	0	0	0	0
rxn10153	0	0	0	0
rxn00178	1	1	1	3
rxn00676	1	1	1	3
rxn01775	1	1	1	3
rxn05610	0	0	0	0
rxn00874	1	1	1	3
rxn02889	0	0	0	0
rxn03248	1	1	1	3
rxn00289	1	1	1	3
rxn01987	0	1	0	1
rxn02680	1	1	1	3
rxn03243	1	1	1	3
rxn00248	0	0	0	0
rxn05104	0	1	1	2
rxn06510	1	1	1	3
rxn00161	0	1	0	2
rxn03910	0	1	1	2
rxn02804	1	1	1	3
rxn00679	0	1	1	2
rxn00126	1	1	1	3
rxn05183	0	1	0	2
rxn00693	0	1	0	1
rxn05613	0	1	0	2
rxn05219	0	1	0	2
rxn10571	0	0	0	0
rxn05616	0	0	0	0
rxn01504	0	0	0	0
rxn02460	0	0	0	0
rxn00881	0	0	0	0
rxn00883	0	0	0	0
rxn00882	0	0	0	0
rxn03061	0	0	0	0
rxn05909	0	1	0	2
rxn03537	0	0	0	0
rxn05349	0	1	0	2
rxn05465	1	1	1	3
rxn01387	0	0	0	0
rxn00533	1	0	0	1
rxn00669	0	0	0	0
rxn00501	0	1	0	2
rxn00671	0	0	0	0
rxn03462	0	0	0	0
rxn03182	0	0	0	0
rxn03439	0	0	0	0
rxn00912	1	1	1	3
rxn01022	1	1	1	3
rxn01211	0	0	0	0
rxn00907	1	1	1	3
rxn04954	1	1	1	3
rxn00910	1	1	1	3
rxn01134	0	1	1	2
rxn03057	0	0	0	0
rxn02369	0	0	0	0
rxn06865	0	0	0	0
rxn00077	0	1	0	2
rxn00083	0	1	0	2
rxn05209	0	0	0	0
rxn05617	0	0	0	0
rxn06723	0	0	0	0
rxn06729	1	1	1	3
rxn01917	0	1	0	2
rxn00105	0	0	0	0
rxn10181	0	0	0	0
rxn02897	0	1	1	2
rxn05625	0	0	0	0
rxn05627	0	0	0	0
rxn02898	0	0	0	0
rxn02400	0	0	0	0
rxn01521	0	0	0	0
rxn01961	0	0	0	0
rxn00831	0	1	0	2
rxn00708	0	0	0	0
rxn01218	0	0	0	0
rxn00363	0	1	0	2
rxn01145	0	0	0	0
rxn01507	0	0	0	0
rxn00132	0	0	0	0
rxn01445	0	0	0	0
rxn00913	0	0	0	0
rxn05468	0	0	0	0
rxn10161	0	0	0	0
rxn00290	1	1	1	3
rxn03395	0	0	0	0
rxn01208	0	1	1	2
rxn00710	1	1	1	3
rxn02283	0	0	0	0
rxn03393	0	0	0	0
rxn02104	0	0	0	0
rxn00472	0	0	0	0
rxn02144	1	1	1	3
rxn01461	0	0	0	0
rxn01791	1	1	1	3
rxn00868	0	1	0	2
rxn03904	1	1	0	2
rxn01192	0	0	0	0
rxn10010	0	0	0	0
rxn00209	1	1	1	3
rxn10011	0	0	0	0
rxn10012	0	1	0	2
rxn02314	0	0	0	0
rxn01343	0	0	0	0
rxn01485	1	1	1	3
rxn01101	1	1	1	3
rxn01100	1	1	1	3
rxn10013	0	0	0	0
rxn01476	0	0	0	0
rxn00980	1	1	1	3
rxn01106	1	1	0	2
rxn10014	0	1	0	2
rxn05732	0	0	0	0
rxn00497	0	0	0	0
rxn01923	0	1	0	2
rxn05145	0	1	0	1
rxn05312	0	0	0	0
rxn09131	0	1	0	1
rxn09152	0	0	0	0
rxn01329	1	1	1	3
rxn05039	0	0	0	0
rxn12510	0	1	0	2
rxn00001	1	1	1	3
rxn00029	1	1	1	3
rxn00251	1	1	1	3
rxn02341	0	1	0	2
rxn09177	0	1	0	2
