rxn05582	MNXR100368
rxn08660	MNXR100368
rxn09748	MNXR100368
rxn05218	MNXR100371
rxn08662	MNXR100371
rxn13111	MNXR100371
rxn00642	MNXR100377
rxn03916	MNXR100378
rxn13940	MNXR100378
rxn00913	MNXR100381
rxn00837	MNXR100382
rxn00916	MNXR100383
rxn00917	MNXR100384
rxn05471	MNXR100385
rxn08664	MNXR100386
rxn10751	MNXR100387
rxn10686	MNXR100388
rxn01115	MNXR100389
rxn01275	MNXR100390
rxn00270	MNXR100391
rxn01226	MNXR100392
rxn08666	MNXR100393
rxn08667	MNXR100398
rxn00915	MNXR100409
rxn00758	MNXR100410
rxn01073	MNXR100411
rxn08668	MNXR100412
rxn08669	MNXR100413
rxn00889	MNXR100414
rxn02451	MNXR100429
rxn10538	MNXR100430
rxn08670	MNXR100431
rxn00914	MNXR100432
rxn08672	MNXR100433
rxn10897	MNXR100433
rxn05204	MNXR100434
rxn08671	MNXR100434
rxn09747	MNXR100434
rxn01404	MNXR100437
rxn01403	MNXR100438
rxn03983	MNXR100441
rxn00821	MNXR100442
rxn08674	MNXR100443
rxn09677	MNXR100443
rxn06527	MNXR100445
rxn00205	MNXR100446
rxn08675	MNXR100447
rxn13712	MNXR100447
rxn08676	MNXR100448
rxn13306	MNXR100448
rxn08677	MNXR100449
rxn10829	MNXR100449
rxn00351	MNXR100450
rxn09521	MNXR100451
rxn00299	MNXR100453
rxn11232	MNXR100453
rxn00300	MNXR100455
rxn10539	MNXR100456
rxn00303	MNXR100457
rxn10791	MNXR100458
rxn08679	MNXR100459
rxn00304	MNXR100460
rxn13307	MNXR100461
rxn08680	MNXR100462
rxn12663	MNXR100462
rxn00307	MNXR100463
rxn01225	MNXR100464
rxn08682	MNXR100465
rxn08683	MNXR100465
rxn09746	MNXR100465
rxn10142	MNXR100465
rxn05203	MNXR100466
rxn08681	MNXR100466
rxn01462	MNXR100467
rxn01080	MNXR100468
rxn01457	MNXR100469
rxn01913	MNXR100471
rxn01079	MNXR100472
rxn08684	MNXR100480
rxn07200	MNXR100481
rxn00102	MNXR100482
rxn10826	MNXR100484
rxn13310	MNXR100484
rxn12800	MNXR100485
rxn10540	MNXR100488
rxn04958	MNXR100492
rxn08688	MNXR100493
rxn08689	MNXR100494
rxn08690	MNXR100494
rxn10541	MNXR100494
rxn08691	MNXR100495
rxn08692	MNXR100495
rxn10542	MNXR100495
rxn10543	MNXR100505
rxn10544	MNXR100506
rxn10545	MNXR100507
rxn10546	MNXR100508
rxn10547	MNXR100509
rxn10548	MNXR100510
rxn10549	MNXR100511
rxn10550	MNXR100512
rxn10551	MNXR100513
rxn10552	MNXR100514
rxn01451	MNXR100541
rxn09461	MNXR100542
rxn03249	MNXR100543
rxn03246	MNXR100544
rxn03244	MNXR100545
rxn03242	MNXR100546
rxn06777	MNXR100547
rxn03239	MNXR100548
rxn08700	MNXR100549
rxn02933	MNXR100550
rxn06037	MNXR100551
rxn03034	MNXR100552
rxn12773	MNXR100554
rxn04750	MNXR100555
rxn00109	MNXR100556
rxn10666	MNXR100557
rxn10553	MNXR100560
rxn10554	MNXR100561
rxn10555	MNXR100562
rxn10556	MNXR100563
rxn01452	MNXR100565
rxn03893	MNXR100566
rxn03894	MNXR100569
rxn08701	MNXR100570
rxn10135	MNXR100570
rxn08702	MNXR100571
rxn00452	MNXR100577
rxn08703	MNXR100578
rxn09837	MNXR100579
rxn00866	MNXR100581
rxn10162	MNXR100583
rxn00859	MNXR100587
rxn10557	MNXR100588
rxn06991	MNXR100590
rxn05121	MNXR100591
rxn12825	MNXR100591
rxn13311	MNXR100595
rxn08708	MNXR100598
rxn08709	MNXR100599
rxn08710	MNXR100602
rxn08711	MNXR100604
rxn08712	MNXR100606
rxn08713	MNXR100607
rxn03075	MNXR100611
rxn00216	MNXR100612
rxn01439	MNXR100613
rxn13313	MNXR100619
rxn05585	MNXR100620
rxn03891	MNXR100621
rxn08714	MNXR100622
rxn12596	MNXR100622
rxn08715	MNXR100623
rxn10343	MNXR100623
rxn08716	MNXR100624
rxn05586	MNXR100625
rxn08717	MNXR100625
rxn02519	MNXR100626
rxn01825	MNXR100628
rxn07331	MNXR100629
rxn01480	MNXR100634
