2HPMMBQMOm	MNXR94803
2HXMPt6	MNXR94804
2INSD	MNXR94805
2MAHMP	MNXR94806
2MB2COAc	MNXR94807
2MBACt	MNXR94808
2MBALDt	MNXR94809
2MBALDtm	MNXR94809
2MBTOHt	MNXR94810
2MBTOHtm	MNXR94810
2MCITt	MNXR94811
2MCITtm	MNXR94811
2MPPALt	MNXR94812
2MPPALtm	MNXR94812
2OBUTt2ipp	MNXR94813
2OBUTtex	MNXR94814
2OBUTtm	MNXR94814
2OH3K5MPPISO	MNXR94815
2OHPH_5tn	MNXR94816
2OMPH_5tm	MNXR94817
2OMPH_5tn	MNXR94817
2OXOADOXm	MNXR94818
2OXOADPTm	MNXR94819
2OXOADPtim	MNXR94820
2PGK	MNXR94821
2PGLYCt6	MNXR94822
2PGLYCth	MNXR94823
2PGLYCtx	MNXR94823
2PGt6	MNXR94824
2PGt6pp	MNXR94825
2PGtex	MNXR94826
2PGth	MNXR94826
2PGtm	MNXR94826
2PHACTE	MNXR94827
2PHETOHt	MNXR94828
2PHETOHtm	MNXR94828
2PLS	MNXR94829
2S6HCCi	MNXR94830
34DHALDD	MNXR94831
34DHCINMtex	MNXR94832
34DHCINMtpp	MNXR94832
34DHOXPEGOX	MNXR94833
34DHOXPEGt	MNXR94834
34DHPACDO	MNXR94835
34DHPHAMT	MNXR94836
34DHPHELAT1tc	MNXR94837
34DHPHEt	MNXR94838
34DHPLACOX_NADP	MNXR94839
34DHXMANDACOX	MNXR94840
34DHXMANDACOX_NADP	MNXR94841
34HPLFM	MNXR94842
34HPPOR	MNXR94843
34HPPYRI	MNXR94844
34HPPt2m	MNXR94845
34HPPt2p	MNXR94845
34HPPte	MNXR94846
34PHACTE	MNXR94847
34dhpactex	MNXR94848
35CGMPtn	MNXR94849
35PHACTE	MNXR94850
3AIBTm	MNXR94851
3AIB_Dtm	MNXR94852
3AIBt	MNXR94853
3AIBtm	MNXR94853
3AMACHYD	MNXR94854
3AMBAt2	MNXR94855
3AMPt6	MNXR94856
3AMPtex	MNXR94857
3C3HMPt	MNXR94858
3C3HMPth	MNXR94858
3C3HMPtm	MNXR94858
3C4MOPtm	MNXR94859
3CMPt6	MNXR94860
3CMPtex	MNXR94861
3DH5HPBMTm	MNXR94862
3DH5HPBtm	MNXR94863
3DPHBH1	MNXR94864
3DPHBH2	MNXR94865
3DSPHR	MNXR94866
3GMPt6	MNXR94867
3GMPtex	MNXR94868
3HAACOAT100	MNXR94869
3HAACOAT120	MNXR94870
3HAACOAT121	MNXR94871
3HAACOAT140	MNXR94872
3HAACOAT141	MNXR94873
3HAACOAT60	MNXR94874
3HAACOAT80	MNXR94875
3HAD100	MNXR94876
3HAD100_1	MNXR94876
3HAD120	MNXR94877
3HAD120_1	MNXR94877
3HAD121	MNXR94878
3HAD140	MNXR94879
3HAD140_1	MNXR94879
3HAD141	MNXR94880
3HAD160	MNXR94881
3HAD160_1	MNXR94881
3HAD161	MNXR94882
3HAD180	MNXR94883
3HAD180_1	MNXR94883
3HAD181	MNXR94884
3HAD181_1	MNXR94884
3HAD40	MNXR94885
3HAD40_1	MNXR94886
3HAD60	MNXR94887
3HAD60_1	MNXR94887
3HAD80	MNXR94888
3HAD80_1	MNXR94888
3HAO	MNXR94889
3HBCDm	MNXR94890
3HBCOAHL	MNXR94891
3HBCOAHLm	MNXR94891
3HBCOARc	MNXR94892
3HCINNMH	MNXR94893
3HCO3_NAt	MNXR94894
3HKYNAKGAT	MNXR94895
3HKYNAKGATm	MNXR94895
3HLYTCL	MNXR94896
3HOPCD	MNXR94897
3HOXPACt2pp	MNXR94898
3HPAOX	MNXR94899
3HPCOAHYD	MNXR94900
3HPH5MBDCm	MNXR94901
3HPPD	MNXR94902
3HPPPNH	MNXR94903
3HPPtex	MNXR94904
3HPPtpp	MNXR94905
3HXKYNDCL	MNXR94906
3HXKYNOXDA	MNXR94907
3IPM3MT	MNXR94908
3KGK	MNXR94909
3M2OBLOXRD	MNXR94910
3M2OPLOXRD	MNXR94911
3M4HDXPAC	MNXR94912
3MBALDt	MNXR94913
3MBALDtm	MNXR94913
3MBZALDH	MNXR94914
3MBZDH	MNXR94915
3MBt2pp	MNXR94916
3MBt4pp	MNXR94917
3MBtex	MNXR94918
3MCAT23DOX	MNXR94919
3MLDAt	MNXR94920
3MMD	MNXR94921
