biomass0	Biomass
rxn03360_c0	MNXR279
rxn01115_c0	MNXR2793
rxn01275_c0	MNXR2794
rxn00758_c0	MNXR2802
rxn01073_c0	MNXR2803
rxn00086_c0	MNXR2826
rxn00351_c0	MNXR2832
rxn00299_c0	MNXR2834
rxn00300_c0	MNXR2835
rxn01462_c0	MNXR2848
rxn00102_c0	MNXR2856
EX_cpd00001_e0	MNXR2865
rxn05319_c0	MNXR2865
rxn10194_c0	MNXR28652
rxn10195_c0	MNXR28653
rxn10196_c0	MNXR28654
rxn10203_c0	MNXR28660
rxn10205_c0	MNXR28662
rxn10206_c0	MNXR28663
rxn10207_c0	MNXR28664
rxn10208_c0	MNXR28665
rxn10209_c0	MNXR28666
rxn10210_c0	MNXR28667
rxn10214_c0	MNXR28671
rxn10215_c0	MNXR28672
rxn10216_c0	MNXR28673
rxn10217_c0	MNXR28674
rxn10218_c0	MNXR28675
rxn10219_c0	MNXR28676
rxn10226_c0	MNXR28683
rxn10227_c0	MNXR28684
rxn10228_c0	MNXR28685
rxn10229_c0	MNXR28686
rxn10230_c0	MNXR28687
rxn10231_c0	MNXR28688
rxn10232_c0	MNXR28689
rxn10233_c0	MNXR28690
rxn10234_c0	MNXR28691
rxn10235_c0	MNXR28692
rxn10236_c0	MNXR28693
rxn10237_c0	MNXR28694
rxn10253_c0	MNXR28710
rxn10254_c0	MNXR28711
rxn10255_c0	MNXR28712
rxn10256_c0	MNXR28713
rxn10257_c0	MNXR28714
rxn10258_c0	MNXR28715
rxn10259_c0	MNXR28716
rxn10260_c0	MNXR28717
rxn10261_c0	MNXR28718
rxn10262_c0	MNXR28719
rxn10263_c0	MNXR28720
rxn10264_c0	MNXR28721
rxn10265_c0	MNXR28722
rxn10266_c0	MNXR28723
rxn01451_c0	MNXR2899
rxn03249_c0	MNXR2901
rxn03246_c0	MNXR2902
rxn03244_c0	MNXR2903
rxn03242_c0	MNXR2904
rxn06777_c0	MNXR2905
rxn03239_c0	MNXR2906
rxn11268_c0	MNXR29077
rxn02933_c0	MNXR2909
rxn06037_c0	MNXR2910
rxn11944_c0	MNXR29256
rxn00452_c0	MNXR2929
rxn08703_c0	MNXR2930
rxn10162_c0	MNXR2932
rxn08710_c0	MNXR2941
rxn08711_c0	MNXR2942
rxn00975_c0	MNXR2949
rxn01825_c0	MNXR2959
rxn01480_c0	MNXR2960
rxn12844_c0	MNXR29604
rxn12846_c0	MNXR29606
rxn12847_c0	MNXR29607
rxn00866_c0	MNXR2964
rxn00859_c0	MNXR2968
rxn02160_c0	MNXR2969
rxn01930_c0	MNXR2978
rxn10168_c0	MNXR2979
rxn00991_c0	MNXR2984
rxn01117_c0	MNXR300
rxn01014_c0	MNXR3013
rxn01013_c0	MNXR3016
rxn00988_c0	MNXR302
rxn01301_c0	MNXR3044
rxn01302_c0	MNXR3045
rxn01303_c0	MNXR3046
rxn01300_c0	MNXR3047
rxn01297_c0	MNXR3054
rxn05201_c0	MNXR3055
EX_cpd00226_e0	MNXR3056
rxn00192_c0	MNXR30582
rxn00469_c0	MNXR30607
rxn00973_c0	MNXR30608
rxn01388_c0	MNXR30609
rxn01637_c0	MNXR30610
rxn01257_c0	MNXR30623
rxn00394_c0	MNXR30737
rxn10131_c0	MNXR30738
rxn02473_c0	MNXR3090
rxn02507_c0	MNXR3091
rxn00649_c0	MNXR30965
rxn02853_c0	MNXR3098
rxn00832_c0	MNXR3099
rxn00834_c0	MNXR3100
EX_cpd00246_e0	MNXR3115
rxn05316_c0	MNXR3116
rxn03062_c0	MNXR3132
rxn02811_c0	MNXR3133
rxn02789_c0	MNXR3134
rxn00902_c0	MNXR3135
rxn00193_c0	MNXR31606
rxn00085_c0	MNXR31609
rxn05297_c0	MNXR31615
rxn05298_c0	MNXR31616
EX_cpd00023_e0	MNXR31619
rxn00404_c0	MNXR31620
rxn00350_c0	MNXR31648
rxn02320_c0	MNXR31722
rxn00505_c0	MNXR31728
rxn00336_c0	MNXR31733
rxn03135_c0	MNXR31741
rxn02404_c0	MNXR3175
rxn02331_c0	MNXR3176
rxn00806_c0	MNXR31792
rxn01438_c0	MNXR3185
EX_cpd00205_e0	MNXR3189
rxn05206_c0	MNXR3189
rxn00375_c0	MNXR31971
rxn03445_c0	MNXR32039
rxn00470_c0	MNXR32049
rxn00467_c0	MNXR32050
EX_cpd00064_e0	MNXR32053
rxn00499_c0	MNXR3215
rxn00493_c0	MNXR32168
rxn02914_c0	MNXR32268
rxn00183_c0	MNXR32297
rxn01834_c0	MNXR3231
rxn03087_c0	MNXR32377
rxn02944_c0	MNXR32423
rxn00527_c0	MNXR32524
rxn00903_c0	MNXR32586
rxn00260_c0	MNXR32641
rxn01603_c0	MNXR32670
rxn08796_c0	MNXR3269
rxn08797_c0	MNXR3270
rxn00412_c0	MNXR32700
rxn00917_c0	MNXR32727
rxn00727_c0	MNXR32743
rxn03433_c0	MNXR32754
rxn08804_c0	MNXR3277
rxn00179_c0	MNXR32778
rxn08806_c0	MNXR3279
rxn01641_c0	MNXR32839
rxn02949_c0	MNXR32870
rxn00646_c0	MNXR32879
rxn00190_c0	MNXR33034
rxn00416_c0	MNXR33036
rxn00414_c0	MNXR33037
rxn08839_c0	MNXR3312
rxn01639_c0	MNXR33152
rxn00484_c0	MNXR3344
rxn00320_c0	MNXR3352
rxn05305_c0	MNXR3355
EX_cpd00039_e0	MNXR3357
rxn03060_c0	MNXR33677
rxn01851_c0	MNXR337
rxn02339_c0	MNXR33771
rxn01215_c0	MNXR33785
rxn02429_c0	MNXR33792
rxn00181_c0	MNXR33807
rxn00330_c0	MNXR3388
rxn05170_c0	MNXR3403
rxn05607_c0	MNXR3404
EX_cpd00179_e0	MNXR3405
rxn10153_c0	MNXR3407
rxn00178_c0	MNXR341
EX_cpd00130_e0	MNXR3410
rxn00676_c0	MNXR342
rxn01775_c0	MNXR3421
rxn05610_c0	MNXR3429
rxn00874_c0	MNXR343
EX_cpd00138_e0	MNXR3430
rxn02889_c0	MNXR3438
rxn03248_c0	MNXR344
rxn00289_c0	MNXR3442
rxn01987_c0	MNXR34453
rxn02680_c0	MNXR345
rxn03243_c0	MNXR346
rxn00248_c0	MNXR3464
rxn05104_c0	MNXR3469
rxn06510_c0	MNXR347
rxn00161_c0	MNXR3471
rxn03910_c0	MNXR3474
rxn02804_c0	MNXR348
rxn00679_c0	MNXR34853
rxn00126_c0	MNXR3487
rxn05183_c0	MNXR3489
EX_cpd00637_e0	MNXR3490
rxn00693_c0	MNXR3495
rxn05613_c0	MNXR3496
EX_cpd01914_e0	MNXR3497
rxn05219_c0	MNXR3503
EX_cpd00060_e0	MNXR3506
rxn10571_c0	MNXR3513
EX_cpd00254_e0	MNXR3516
rxn05616_c0	MNXR3516
rxn01504_c0	MNXR3519
rxn02460_c0	MNXR3536
rxn00881_c0	MNXR3542
rxn00883_c0	MNXR3546
rxn00882_c0	MNXR3547
rxn03061_c0	MNXR3548
rxn05909_c0	MNXR35532
rxn03537_c0	MNXR356
rxn05349_c0	MNXR35617
rxn05465_c0	MNXR35619
rxn01387_c0	MNXR35657
rxn00533_c0	MNXR358
rxn00669_c0	MNXR359
rxn00501_c0	MNXR3607
rxn00671_c0	MNXR3609
EX_cpd00314_e0	MNXR3616
rxn03182_c0	MNXR3619
rxn03439_c0	MNXR3620
rxn00912_c0	MNXR3626
rxn01022_c0	MNXR3639
rxn01211_c0	MNXR3641
rxn00907_c0	MNXR3642
rxn04954_c0	MNXR3644
rxn00910_c0	MNXR3645
rxn01134_c0	MNXR3648
rxn03057_c0	MNXR3650
rxn02369_c0	MNXR3655
rxn06865_c0	MNXR37169
rxn00077_c0	MNXR3759
rxn00083_c0	MNXR3771
EX_cpd00075_e0	MNXR3781
EX_cpd00971_e0	MNXR3782
rxn05209_c0	MNXR3783
rxn05617_c0	MNXR38088
rxn06729_c0	MNXR38095
rxn01917_c0	MNXR382
rxn00105_c0	MNXR3827
EX_cpd00355_e0	MNXR3830
rxn10181_c0	MNXR3830
rxn02897_c0	MNXR3837
rxn05625_c0	MNXR3841
rxn05627_c0	MNXR3846
EX_cpd00209_e0	MNXR3848
rxn02898_c0	MNXR3857
rxn02400_c0	MNXR3870
rxn01521_c0	MNXR3871
rxn01961_c0	MNXR3872
rxn00831_c0	MNXR3873
rxn00708_c0	MNXR3875
rxn01218_c0	MNXR3876
rxn00363_c0	MNXR3877
rxn01145_c0	MNXR3878
rxn01507_c0	MNXR3879
rxn00132_c0	MNXR3880
rxn01445_c0	MNXR3881
rxn00913_c0	MNXR3882
EX_cpd00007_e0	MNXR3931
rxn05468_c0	MNXR3931
EX_cpd01080_e0	MNXR3942
rxn10161_c0	MNXR3943
rxn00290_c0	MNXR3946
rxn03395_c0	MNXR3953
rxn01208_c0	MNXR3962
rxn00710_c0	MNXR3967
rxn02283_c0	MNXR39706
rxn03393_c0	MNXR3978
rxn02104_c0	MNXR4001
rxn00472_c0	MNXR40035
rxn02144_c0	MNXR4008
rxn01461_c0	MNXR40622
rxn01791_c0	MNXR4088
rxn00868_c0	MNXR410
rxn03904_c0	MNXR4101
rxn01192_c0	MNXR4119
rxn10010_c0	MNXR413
rxn00209_c0	MNXR4138
rxn10011_c0	MNXR415
rxn10012_c0	MNXR417
rxn02314_c0	MNXR4173
rxn01343_c0	MNXR4174
rxn01485_c0	MNXR4183
rxn01101_c0	MNXR4184
rxn01100_c0	MNXR4189
rxn10013_c0	MNXR419
rxn01476_c0	MNXR4190
rxn00980_c0	MNXR4193
rxn01106_c0	MNXR4195
rxn10014_c0	MNXR421
rxn05732_c0	MNXR423
rxn00497_c0	MNXR4257
rxn01923_c0	MNXR428
rxn05145_c0	MNXR4293
EX_cpd00009_e0	MNXR4294
rxn05312_c0	MNXR4295
rxn09131_c0	MNXR4313
rxn09152_c0	MNXR4335
rxn01329_c0	MNXR4351
rxn05039_c0	MNXR4352
rxn12510_c0	MNXR4362
rxn00001_c0	MNXR4373
rxn00029_c0	MNXR4380
rxn00251_c0	MNXR4381
rxn02341_c0	MNXR4382
EX_cpd00012_e0	MNXR4392
rxn09177_c0	MNXR4400
rxn12512_c0	MNXR4401
rxn01268_c0	MNXR4402
rxn01269_c0	MNXR4403
rxn01000_c0	MNXR4404
rxn00999_c0	MNXR4405
rxn00147_c0	MNXR4414
rxn02508_c0	MNXR4422
rxn02835_c0	MNXR4424
rxn02834_c0	MNXR4426
rxn00427_c0	MNXR4427
rxn00974_c0	MNXR443
rxn03175_c0	MNXR4439
rxn05165_c0	MNXR4453
EX_cpd00129_e0	MNXR4457
rxn10945_c0	MNXR4457
rxn02181_c0	MNXR4458
rxn02476_c0	MNXR4464
rxn02046_c0	MNXR4485
rxn00420_c0	MNXR4486
rxn02175_c0	MNXR4514
rxn05163_c0	MNXR4519
EX_cpd00118_e0	MNXR4521
rxn01649_c0	MNXR4528
rxn00175_c0	MNXR453
rxn01807_c0	MNXR4534
rxn00124_c0	MNXR4538
rxn01396_c0	MNXR4539
rxn00148_c0	MNXR4545
rxn01530_c0	MNXR4592
rxn01103_c0	MNXR460
rxn00227_c0	MNXR461
rxn12640_c0	MNXR46338
rxn01671_c0	MNXR4644
rxn01116_c0	MNXR4653
rxn03841_c0	MNXR467
rxn03150_c0	MNXR4671
rxn14301_c0	MNXR47135
rxn00379_c0	MNXR4764
EX_cpd00588_e0	MNXR4783
rxn10184_c0	MNXR4785
rxn00097_c0	MNXR479
rxn01973_c0	MNXR4792
rxn10052_c0	MNXR480
rxn03380_c0	MNXR4803
rxn06591_c0	MNXR48203
rxn05307_c0	MNXR4822
EX_cpd00054_e0	MNXR4825
rxn00127_c0	MNXR484
rxn01739_c0	MNXR4842
rxn00065_c0	MNXR485
rxn00134_c0	MNXR486
rxn06672_c0	MNXR48675
rxn06673_c0	MNXR48676
rxn05651_c0	MNXR4870
EX_cpd00048_e0	MNXR4873
rxn06937_c0	MNXR48752
rxn05175_c0	MNXR4889
EX_cpd00264_e0	MNXR4891
rxn01406_c0	MNXR4892
rxn00206_c0	MNXR4893
rxn00422_c0	MNXR4896
EX_cpd00182_e0	MNXR490
rxn00508_c0	MNXR4909
rxn05318_c0	MNXR491
rxn02831_c0	MNXR4944
rxn10154_c0	MNXR4947
rxn05654_c0	MNXR4949
EX_cpd00036_e0	MNXR4953
rxn00285_c0	MNXR4958
EX_cpd00076_e0	MNXR4962
rxn05655_c0	MNXR4963
rxn05153_c0	MNXR4968
rxn05172_c0	MNXR4988
EX_cpd00210_e0	MNXR4991
rxn01997_c0	MNXR5009
rxn03181_c0	MNXR5010
rxn10125_c0	MNXR5035
rxn03031_c0	MNXR5036
rxn05200_c0	MNXR5042
EX_cpd00184_e0	MNXR5045
rxn00541_c0	MNXR5055
rxn01069_c0	MNXR5064
rxn01143_c0	MNXR5091
rxn00781_c0	MNXR50924
rxn00782_c0	MNXR50925
rxn01146_c0	MNXR5093
rxn01520_c0	MNXR5095
rxn00747_c0	MNXR51088
rxn02004_c0	MNXR5121
rxn02005_c0	MNXR5126
EX_cpd00794_e0	MNXR5128
rxn00361_c0	MNXR513
rxn00478_c0	MNXR5138
rxn00800_c0	MNXR514
rxn00474_c0	MNXR5140
EX_cpd00065_e0	MNXR5144
rxn05663_c0	MNXR5145
rxn03136_c0	MNXR515
rxn05176_c0	MNXR5156
EX_cpd00268_e0	MNXR5158
rxn10163_c0	MNXR5159
rxn00529_c0	MNXR5171
rxn02011_c0	MNXR5186
rxn02008_c0	MNXR5205
rxn03164_c0	MNXR5251
rxn12549_c0	MNXR5264
rxn02264_c0	MNXR5287
rxn02288_c0	MNXR5288
rxn03384_c0	MNXR5289
EX_cpd00249_e0	MNXR5309
rxn05199_c0	MNXR5310
rxn03130_c0	MNXR5314
rxn05358_c0	MNXR53357
rxn05383_c0	MNXR53358
rxn05408_c0	MNXR53359
rxn05451_c0	MNXR53360
rxn05452_c0	MNXR53361
rxn05453_c0	MNXR53362
rxn05454_c0	MNXR53363
rxn05455_c0	MNXR53364
rxn05456_c0	MNXR53365
rxn05457_c0	MNXR53366
rxn05459_c0	MNXR53368
rxn00904_c0	MNXR5342
rxn02321_c0	MNXR5347
rxn01522_c0	MNXR5348
EX_cpd00034_e0	MNXR5387
rxn00199_c0	MNXR5404
rxn03287_c0	MNXR5449
rxn05005_c0	MNXR5475
rxn10113_c0	MNXR55178
rxn00783_c0	MNXR55208
rxn02190_c0	MNXR55230
rxn02213_c0	MNXR55233
rxn01213_c0	MNXR55238
rxn03909_c0	MNXR55306
rxn03884_c0	MNXR55318
rxn09436_c0	MNXR55397
rxn01486_c0	MNXR55435
rxn08546_c0	MNXR55513
rxn01241_c0	MNXR55548
rxn06377_c0	MNXR55549
rxn02503_c0	MNXR55638
rxn08756_c0	MNXR55660
rxn08792_c0	MNXR55668
rxn03159_c0	MNXR55674
rxn05293_c0	MNXR55700
rxn03035_c0	MNXR55714
rxn00839_c0	MNXR55765
rxn10120_c0	MNXR55771
rxn03903_c0	MNXR55822
rxn01871_c0	MNXR55828
rxn09167_c0	MNXR55841
rxn03084_c0	MNXR55855
rxn05647_c0	MNXR55898
rxn03063_c0	MNXR55901
rxn01740_c0	MNXR55917
rxn02305_c0	MNXR55960
rxn09320_c0	MNXR55961
rxn00461_c0	MNXR55980
rxn03933_c0	MNXR55984
rxn03408_c0	MNXR55985
rxn02286_c0	MNXR55986
rxn02285_c0	MNXR55988
rxn03901_c0	MNXR55989
rxn09345_c0	MNXR55990
rxn03146_c0	MNXR56025
rxn03397_c0	MNXR56039
rxn00675_c0	MNXR5630
rxn01169_c0	MNXR5673
rxn00933_c0	MNXR5681
rxn01107_c0	MNXR5689
rxn04113_c0	MNXR57060
rxn02465_c0	MNXR571
rxn02406_c0	MNXR5724
rxn00196_c0	MNXR5727
rxn14294_c0	MNXR57329
rxn00272_c0	MNXR574
rxn05871_c0	MNXR5765
rxn00141_c0	MNXR578
rxn02159_c0	MNXR58251
rxn02015_c0	MNXR5856
rxn03137_c0	MNXR588
rxn03918_c0	MNXR58824
rxn00986_c0	MNXR5887
rxn05049_c0	MNXR5910
rxn00863_c0	MNXR59227
rxn04068_c0	MNXR5927
rxn08094_c0	MNXR595
rxn03120_c0	MNXR59665
rxn03273_c0	MNXR59713
rxn03440_c0	MNXR59771
rxn03871_c0	MNXR59886
rxn04139_c0	MNXR60025
rxn03167_c0	MNXR603
rxn02925_c0	MNXR6030
rxn04723_c0	MNXR60319
rxn04724_c0	MNXR60320
rxn04748_c0	MNXR60327
rxn04750_c0	MNXR60328
rxn05006_c0	MNXR6043
rxn07734_c0	MNXR60581
rxn07875_c0	MNXR60651
rxn11713_c0	MNXR60681
rxn11714_c0	MNXR60682
rxn11717_c0	MNXR60684
rxn11719_c0	MNXR60685
rxn11720_c0	MNXR60686
rxn11721_c0	MNXR60687
rxn11722_c0	MNXR60688
rxn11723_c0	MNXR60689
rxn11727_c0	MNXR60692
rxn00222_c0	MNXR6106
rxn00851_c0	MNXR614
rxn01702_c0	MNXR6164
rxn06624_c0	MNXR61873
rxn00283_c0	MNXR626
rxn06488_c0	MNXR6274
rxn03002_c0	MNXR6283
rxn11724_c0	MNXR62992
rxn05024_c0	MNXR6311
rxn02418_c0	MNXR6331
rxn02166_c0	MNXR6332
rxn12635_c0	MNXR63965
rxn12633_c0	MNXR63966
rxn12639_c0	MNXR63967
rxn12641_c0	MNXR63968
rxn12642_c0	MNXR63969
rxn12645_c0	MNXR63971
rxn12646_c0	MNXR63972
rxn12634_c0	MNXR63973
rxn12637_c0	MNXR63975
rxn01345_c0	MNXR6398
rxn00543_c0	MNXR648
rxn00406_c0	MNXR6493
rxn02345_c0	MNXR6494
rxn00658_c0	MNXR6532
rxn01972_c0	MNXR6536
rxn01854_c0	MNXR6539
rxn06690_c0	MNXR65450
rxn07476_c0	MNXR65498
rxn03142_c0	MNXR6555
rxn00506_c0	MNXR657
rxn00743_c0	MNXR662
rxn02796_c0	MNXR6631
rxn10199_c0	MNXR67415
rxn01927_c0	MNXR68179
rxn05338_c0	MNXR68183
rxn05340_c0	MNXR68184
rxn05337_c0	MNXR68190
rxn05341_c0	MNXR68191
rxn00927_c0	MNXR68287
rxn00139_c0	MNXR68290
rxn00838_c0	MNXR68295
rxn08083_c0	MNXR68311
rxn08085_c0	MNXR68313
rxn01872_c0	MNXR68327
rxn00763_c0	MNXR68334
rxn01124_c0	MNXR6834
rxn10094_c0	MNXR68360
rxn02916_c0	MNXR68367
rxn00789_c0	MNXR68424
rxn00795_c0	MNXR68443
EX_cpd01012_e0	MNXR68487
rxn00058_c0	MNXR68605
rxn10806_c0	MNXR68616
rxn00364_c0	MNXR68619
rxn01219_c0	MNXR68625
rxn01127_c0	MNXR68634
rxn08306_c0	MNXR68647
rxn08308_c0	MNXR68649
rxn08310_c0	MNXR68652
rxn08312_c0	MNXR68654
rxn01509_c0	MNXR68689
rxn00898_c0	MNXR68691
rxn08335_c0	MNXR68704
rxn08352_c0	MNXR68731
rxn01513_c0	MNXR68764
rxn05356_c0	MNXR68769
rxn05355_c0	MNXR68771
rxn05351_c0	MNXR68774
rxn05357_c0	MNXR68781
rxn05352_c0	MNXR68783
