MNXR102063	rxn00569
MNXR102090	rxn05468
MNXR102142	rxn10161
MNXR102148	rxn00290
MNXR102169	rxn03445
MNXR102170	rxn03395
MNXR102180	rxn01208
MNXR102190	rxn00710
MNXR102198	rxn01893
MNXR102201	rxn03393
MNXR102209	rxn00470
MNXR102220	rxn00467
MNXR102231	rxn01362
MNXR102236	rxn02104
MNXR102247	rxn02144
MNXR102301	rxn00503
MNXR102302	rxn00931
MNXR102303	rxn00929
MNXR102345	rxn01791
MNXR102372
MNXR102373	rxn03904
MNXR102376	rxn05239
MNXR102398	rxn03512
MNXR102399	rxn01192
MNXR102425	rxn00154
MNXR102428	rxn00011
MNXR102429	rxn02342
MNXR102430	rxn01871
MNXR102438	rxn00209
MNXR102487	rxn00305
MNXR102507
MNXR102509	rxn02314
MNXR102510	rxn01343
MNXR102511
MNXR102526	rxn01485
MNXR102527	rxn01101
MNXR102535
MNXR102538	rxn01100
MNXR102539	rxn01476
MNXR102543	rxn00980
MNXR102547	rxn01106
MNXR102548	rxn00704
MNXR102589
MNXR102592	rxn09111
MNXR102594	rxn09112
MNXR102595	rxn09113
MNXR102596
MNXR102631	rxn00493
MNXR102632
MNXR102650	rxn00497
MNXR102870	rxn05145
MNXR102872	rxn05312
MNXR102967
MNXR102968
MNXR102969
MNXR102970	rxn09126
MNXR102972	rxn09128
MNXR102977	rxn09133
MNXR102979	rxn09135
MNXR102989
MNXR102990
MNXR102991
MNXR102992	rxn09147
MNXR102994	rxn09149
MNXR103045	rxn03108
MNXR103050	rxn12510
MNXR103067	rxn09167
MNXR103095	rxn00029
MNXR103096	rxn00251
MNXR103098	rxn02341
MNXR103109	rxn00242
MNXR103119	rxn09177
MNXR103120	rxn12512
MNXR103123	rxn01000
MNXR103126	rxn00999
MNXR103128	rxn02304
MNXR103139	rxn02895
MNXR103140	rxn00147
MNXR103150	rxn03892
MNXR103154	rxn02835
MNXR103155	rxn02834
MNXR103156	rxn02508
MNXR103157
MNXR103158	rxn03147
MNXR103159	rxn00427
MNXR103165
MNXR103169	rxn03175
MNXR103186	rxn00932
MNXR103187	rxn09188
MNXR103210	rxn05165
MNXR103211	rxn05638
MNXR103215
MNXR103225	rxn02914
MNXR103226	rxn02476
MNXR103229
MNXR103232	rxn09200
MNXR103233
MNXR103234	rxn09202
MNXR103235
MNXR103260	rxn00420
MNXR103265	rxn02046
MNXR103266
MNXR103269	rxn09208
MNXR103270
MNXR103271	rxn09210
MNXR103272
MNXR103329
MNXR103338	rxn05163
MNXR103349	rxn01649
MNXR103352	rxn00183
MNXR103355	rxn00208
MNXR103357	rxn01807
MNXR103361	rxn00124
MNXR103362	rxn01396
MNXR103369	rxn05144
MNXR103371	rxn00148
MNXR103385	rxn05469
MNXR103396	rxn02989
MNXR103402	rxn01068
MNXR103429	rxn00392
MNXR103430	rxn00048
MNXR103431
MNXR103439	rxn01530
MNXR104060	rxn05231
MNXR104062	rxn05233
MNXR104064	rxn06076
MNXR104066	rxn06075
MNXR104069	rxn01671
MNXR104083	rxn01116
MNXR104084
MNXR104116	rxn03150
