,Loop1,Loop2,Loop3,Loop4,Loop5,Loop6,Loop7,Loop8,Loop9,Loop10,Loop11,Loop12,Loop13,Loop14,Loop15,Loop16,Loop17,Loop18,Loop19,Loop20,Loop21,Loop22,Loop23,Loop24,Loop25,Loop26,Loop27,Loop28,Loop29,Loop30,Loop31,Loop32,Loop33,Loop34,Loop35,Loop36,Loop37,Loop38,Loop39,Loop40,Loop41,Loop42,Loop43,Loop44,Loop45,Loop46,Loop47,Loop48,Loop49,Loop50
COALDDH,0.06,0.02,-0.07,0.03,-0.08,-0.11,-0.01,0.11,-0.17,-0.03,-0.03,-0.06,0.15,0.13,-0.19,0.15,0.12,-0.03,-0.06,0,-0.1,0.07,0.13,-0.08,0.18,0.02,0.04,0.13,0.03,-0.19,0.08,0.03,-0.01,0.04,-0.1,-0.07,0.09,0,-0.12,0.02,0.01,0.15,-0.04,-0.15,-0.24,0.03,0.06,-0.03,0.04,-0.01
CTPS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DAAD,-0.08,-0.02,0.01,-0.03,0.13,-0.01,0.05,0,0.04,-0.01,0.04,0.05,-0.16,0.05,-0.07,-0.03,-0.01,-0.09,-0.07,-0.05,-0.03,-0.13,0.02,-0.04,0,0.11,0.1,-0.03,-0.1,-0.13,0.06,0.07,-0.08,0.1,-0.09,0.01,0.05,0,0.08,0.05,0.03,0.04,-0.03,0.07,0.07,-0.05,0.1,-0.03,0.01,0
DMORh,-0.02,0.11,-0.01,-0.11,-0.13,-0.03,-0.06,0.12,0.11,0.12,-0.02,0.01,0.03,0.14,-0.04,-0.02,-0.11,-0.04,0.09,-0.04,0.03,-0.12,-0.02,0.06,0.05,0,0.12,0.04,0,0.13,0.02,-0.06,-0.02,-0.08,0.09,0.16,0.03,0.07,0.03,0.04,-0.04,0.2,0.02,-0.08,0.06,0.04,0.02,-0.19,0,0.06
ENO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FACOAE160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FACOAE180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBA3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FGFTh,-0.11,-0.03,-0.07,0.03,0.08,-0.01,0,-0.05,-0.15,-0.08,-0.01,0.1,-0.06,0.08,-0.01,-0.14,0.06,-0.16,-0.05,0.07,0.04,0.02,-0.07,0.1,0.13,-0.17,0.03,0.11,0.08,0.08,-0.01,-0.14,-0.08,-0.02,0.01,0,0.14,0.09,0.06,0.02,0.04,-0.17,-0.07,-0.12,0.02,0.01,-0.02,-0.06,0,-0.03
FOMETRi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FPGFTh,0.11,0.03,0.07,-0.03,-0.08,0.01,0,0.05,0.15,0.08,0.01,-0.1,0.06,-0.08,0.01,0.14,-0.06,0.16,0.05,-0.07,-0.04,-0.02,0.07,-0.1,-0.13,0.17,-0.03,-0.11,-0.08,-0.08,0.01,0.14,0.08,0.02,-0.01,0,-0.14,-0.09,-0.06,-0.02,-0.04,0.17,0.07,0.12,-0.02,-0.01,0.02,0.06,0,0.03
G3PD,0.15,-0.03,0.07,0.09,-0.06,0,-0.01,-0.07,-0.03,0.05,0.1,0.05,0.1,-0.2,-0.03,0.02,-0.14,0.01,0.02,0.17,0,-0.03,-0.07,0.04,0.11,0,0.15,-0.04,0.11,0.03,0.05,0.01,0.1,-0.15,0.09,-0.11,-0.04,-0.06,-0.07,0.04,-0.02,-0.04,-0.1,-0.09,0.02,0.1,-0.03,0.02,0.01,0.08
G3PD1,0.15,-0.03,0.07,0.09,-0.06,0,-0.01,-0.07,-0.03,0.05,0.1,0.05,0.1,-0.2,-0.03,0.02,-0.14,0.01,0.02,0.17,0,-0.03,-0.07,0.04,0.11,0,0.15,-0.04,0.11,0.03,0.05,0.01,0.1,-0.15,0.09,-0.11,-0.04,-0.06,-0.07,0.04,-0.02,-0.04,-0.1,-0.09,0.02,0.1,-0.03,0.02,0.01,0.08
G6PDH2r,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
