Reaction	Void	rpfCGH
MNXR94254	0	-1
MNXR94255	0	-1
MNXR94256	0	-1
MNXR94257	0	-1
MNXR94258	0	-1
MNXR94259	0	-1
MNXR94260	0	-1
MNXR94261	0	-1
MNXR94262	0	-1
MNXR94263	0	-1
MNXR94264	0	-1
MNXR94265	0	-1
MNXR94266	0	0
MNXR94267	-1	-1
MNXR94312	0	0
MNXR94313	0	0
MNXR94325	0	0
MNXR94332	0	0
MNXR94333	0	0
MNXR94334	0	0
MNXR94338	0	0
MNXR94426	0	0
MNXR94492	1	1
MOAT	-1	0
MOAT2	-1	0
MOAT3C	-1	-1
MOD	0	-1
MOD_3mhtpp	0	-1
MOD_4mop	0	-1
MOHMT	0	0
MPPM	1	0
MQN7t	-1	-1
MTAP	0	0
MTHFC	0	0
MTHFD	0	0
MTHFO	0	0
MTHFO_nadp	0	0
MTI	0	-1
MTRI	0	0
MUCCY_kt	-1	0
NA1Hth	-1	0
NADH10	-1	-1
NADH5	-1	-1
NADH6	1	-1
NADH9	-1	-1
NADK	0	0
NADS1	0	0
NADTRHD	0	-1
NAPRT	0	0
NAPT	0	0
NDPK2	1	-1
NDPK3	1	-1
NDPK4	1	-1
NDPK6	1	-1
NDPK7	1	-1
NDPK8	1	-1
NDPK9	1	-1
NEOXANS	0	0
NFORGLUAH	0	0
NH4t	-1	0
NMNHYD	0	0
NMNTP	-1	-1
NNDMBRT	-1	-1
NNDPR	0	0
NO2t2r	-1	-1
NO3R1	-1	-1
NO3R2	-1	-1
NO3t2	-1	-1
NPHS	0	0
NT5C	0	0
NTD1	0	1
NTD10	0	0
NTD11	0	0
NTD2	0	0
NTD3	0	0
NTD4	0	0
NTD5	0	0
NTD6	0	0
NTD7	0	0
NTRIR2x	-1	-1
NTRIR2y	-1	-1
O2t	-1	-1
OCDCAt2	1	1
OCOAT1	-1	-1
OHPBAT	0	0
OHPHM	-1	-1
OMCDC	0	0
OMPDC	0	0
OP4ENH	-1	0
OPHBDC	-1	-1
ORDCh	0	0
ORNTA	1	1
ORPT	0	1
OXAMTC	0	0
OXOAEL	-1	0
P5CD	0	1
P5CR	-1	0
P5CRx	-1	0
PANTS	0	0
PAPPT2	0	0
PAPPT3	0	0
PAPSR	-1	-1
PC8XM	0	0
PCADYOX	-1	-1
PDH	-1	-1
PDHam1hi	0	-1
PDHam2hi	-1	-1
PDHbr	1	1
PDX5POi	1	0
PEPCK	-1	-1
PFK	0	0
PFK_2	0	0
PFK_3	0	0
PFK_adp	1	1
PGAMT	0	1
PGCD	0	0
PGI	0	0
PGK	0	0
PGL	0	0
PGLYCP	0	0
PGM	0	0
PGMT	0	0
PGSA120	1	-1
PGSA160	1	-1
PGSA161	1	-1
PGSA180	1	-1
PGSA181	1	-1
PHETA1	1	1
PHETHPTOX	1	-1
PHYCBOXL	-1	-1
PIabc	-1	-1
PIt2r	0	0
PLIPA1A120pp	0	-1
PLIPA1A140pp	0	-1
PLIPA1A141pp	0	-1
PLIPA1A160pp	0	-1
PLIPA1A180pp	0	-1
PLIPA1E160	0	-1
PLIPA1E180	0	-1
PLIPA2A120pp	0	-1
PLIPA2A140pp	0	-1
PLIPA2A141pp	0	-1
PLIPA2A160pp	0	-1
PLIPA2A180pp	0	-1
PMPK	0	0
PNTK	-1	-1
POX	-1	-1
PPBNGS	0	0
PPC	-1	-1
PPCDC	-1	-1
PPGPPDP	0	0
PPNCL2	-1	-1
PPNCL3	-1	-1
PPNDH	0	0
PPOR	1	1
PPPGO	-1	-1
PPRGL	0	0
PPS	1	1
PPTTm	0	1
PRACHh	0	-1
PRADPh	0	-1
PRAI	0	-1
PRAIS	0	0
PRAISh	0	0
PRDX	1	0
PRFGS	-1	-1
PRICIh	-1	-1
PROabc	0	0
PROAKGOX1	-1	-1
PROD2	0	1
PROt2r	-1	-1
PRPPS	1	1
PSAT	0	0
PSCIT	0	0
PSD120	0	0
PSD160	0	0
PSD161	0	0
PSD180	0	0
PSD181	0	0
PSP	0	0
PSP_D	-1	-1
PSSA120	0	0
PSSA160	0	0
PSSA161	0	0
PSSA180	0	0
PSSA181	0	0
PTE5x	0	0
PTRCabc	-1	-1
PUNP7	0	0
PUTA3	0	1
PYAM5PO	1	0
PYDAMK	-1	-1
PYDXK	-1	-1
PYDXNK	-1	-1
PYDXS	-1	-1
PYK	0	0
PYRt2	-1	-1
QUILSYN	0	0
R01465m	1	-1
RBFK	-1	-1
RBFSb	1	1
RBK	1	1
RDH1	0	0
RNDR1	1	1
RNDR2	1	1
RNDR3	1	1
RNDR4	1	1
RNMK	-1	-1
RPE	1	-1
RPI	0	0
rxn00016_c0	-1	-1
rxn00816_c0	-1	-1
rxn01080_c0	-1	-1
rxn01292_c0	1	-1
rxn01457_c0	-1	-1
rxn02362_c0	-1	-1
rxn03462_c0	-1	-1
rxn03893_c0	-1	0
rxn04052_c0	0	0
rxn05336_c0	1	1
rxn05342_c0	1	1
rxn05343_c0	-1	-1
rxn05344_c0	-1	-1
rxn05345_c0	-1	-1
rxn05346_c0	-1	-1
rxn05347_c0	-1	-1
rxn05348_c0	-1	-1
rxn05359_c0	-1	-1
rxn05363_c0	-1	-1
rxn05367_c0	-1	-1
rxn05371_c0	-1	-1
rxn05375_c0	-1	-1
rxn05379_c0	-1	-1
rxn05384_c0	-1	-1
rxn05388_c0	-1	-1
rxn05392_c0	-1	-1
rxn05396_c0	-1	-1
rxn05400_c0	-1	-1
rxn05404_c0	-1	-1
rxn05409_c0	-1	-1
rxn05413_c0	-1	-1
rxn05417_c0	-1	-1
rxn05421_c0	-1	-1
rxn05425_c0	-1	-1
rxn05429_c0	-1	-1
rxn05460_c0	-1	-1
rxn06181_c0	1	1
rxn06453_c0	-1	-1
rxn06723_c0	0	0
rxn08333_c0	-1	-1
rxn09448_c0	0	0
rxn09988_c0	0	0
rxn11612_c0	-1	-1
rxn12008_c0	0	1
rxn13990_c0	0	0
RZ5PP	-1	-1
S7PI	-1	-1
SADT	-1	0
SADT2	-1	-1
SALCpts	-1	-1
SAM24MT	0	0
SBP	-1	0
SBTPD	0	0
SBTpts	-1	-1
SDPDS	0	0
SDPTA	1	1
SELCYSTS	-1	-1
SERD_L	0	0
SERH	0	0
SERt2m	0	0
SHCHD2	-1	-1
SHCHF	-1	0
SHK3Dr	0	0
SHKK	-1	-1
SHSL4h	-1	-1
SO4t2	-1	-1
SOTA	1	1
SPMDabc	-1	-1
SPODM	1	0
SPTc	-1	-1
SSALx	0	-1
SUCBZL	-1	-1
SUCCt2b	-1	-1
SUCD4	1	1
SUCLm	1	1
SUCRe	0	-1
SUCRt2	-1	-1
SULabc	-1	-1
SULR	-1	-1
TAL	0	-1
TALA	1	1
TAUDO	-1	-1
TAURabc	-1	-1
TDPDRE	1	-1
TDPDRR	0	1
TDPGDH	1	1
TDSK	0	0
TDSRh	1	1
THD2	-1	-1
THDPS	0	0
THIORDXi	1	-1
THMDt2	0	0
THRA	0	0
THRS	0	0
THZPSN	-1	-1
TKT1	1	-1
TKT2	1	-1
TMDK1	0	0
TMDPP	0	0
TMDS	0	0
TMPK	0	-1
TMPPP	0	0
TPI	0	0
TPRDCOAS	0	0
TRE6PP	0	-1
TRE6PS	0	-1
TREpts	-1	-1
TRPO2	0	0
TRPS2	0	0
TRPt2m	-1	-1
TSULabc	0	0
TTDCAt2	1	1
TYRCBOX	-1	-1
UAAGDS	0	0
UAAGLS1	0	0
UAGAAT	0	0
UAGCVT	0	0
UAGDP	0	0
UAGPT2	-1	-1
UAGPT3	-1	-1
UAMAGS	0	0
UAMAS	0	0
UAPGR	0	0
UDPGD	1	1
UGAH	1	1
UGMDDS	-1	-1
UHBZ1t_pp	-1	-1
UHGADA	1	-1
UMPK	1	1
UPP3S	-1	0
UPPDC1	0	0
UPPDC2	0	0
UPPRT	-1	-1
URCN	0	0
UREA	-1	-1
URFGTT	0	1
URIDK2m	1	1
URIt2	0	0
VPAMTr	0	0
X5PL3E	0	-1
XAND	0	-1
XPPT	0	0
XTSNH	0	0
XYLI1	0	0
XYLI2	0	0
XYLK	0	0
XYLt2	-1	-1
ZN2t4pp	0	0
G12289	1	-1
G12290	0	-1
MNXR113143	0	-1
MNXR113142	0	-1
MNXR113144	0	-1
MNXR117163	0	-1
MNXR117165	1	-1
G12296	0	-1
gumBCEJ	0	-1
OF_Biomass_Synthesis	-1	-1
