GenID	DOWN
1185660.4.peg.1922	0
1185660.4.peg.1925	0
1185660.4.peg.1929	-1
1185660.4.peg.193	0
1185660.4.peg.196	0
1185660.4.peg.1976	-1
1185660.4.peg.1978	0
1185660.4.peg.1988	0
1185660.4.peg.1990	-1
1185660.4.peg.1991	-1
1185660.4.peg.1992	-1
1185660.4.peg.1993	-1
1185660.4.peg.1998	0
1185660.4.peg.1999	0
1185660.4.peg.2001	0
1185660.4.peg.2002	0
1185660.4.peg.2003	0
1185660.4.peg.2004	0
1185660.4.peg.2005	0
1185660.4.peg.2007	0
1185660.4.peg.2008	0
1185660.4.peg.2010	0
1185660.4.peg.2015	1
1185660.4.peg.2018	-1
1185660.4.peg.202	1
1185660.4.peg.2020	-1
1185660.4.peg.2023	-1
1185660.4.peg.2028	0
1185660.4.peg.2036	-1
1185660.4.peg.2037	-1
1185660.4.peg.204	-1
1185660.4.peg.2042	-1
1185660.4.peg.2053	0
1185660.4.peg.2057	0
1185660.4.peg.2080	0
1185660.4.peg.2081	0
1185660.4.peg.2085	0
1185660.4.peg.2089	0
1185660.4.peg.2098	0
1185660.4.peg.2099	-1
1185660.4.peg.2101	-1
1185660.4.peg.2102	-1
1185660.4.peg.2103	-1
1185660.4.peg.2108	-1
1185660.4.peg.2120	-1
1185660.4.peg.2121	-1
1185660.4.peg.2124	-1
1185660.4.peg.2135	0
1185660.4.peg.2139	-1
1185660.4.peg.2140	-1
1185660.4.peg.2141	-1
1185660.4.peg.2152	0
1185660.4.peg.2157	1
1185660.4.peg.2162	0
1185660.4.peg.2169	-1
1185660.4.peg.2203	-1
1185660.4.peg.2205	-1
1185660.4.peg.2206	-1
1185660.4.peg.2207	-1
1185660.4.peg.2210	0
1185660.4.peg.2232	-1
1185660.4.peg.2235	0
1185660.4.peg.224	0
1185660.4.peg.2243	1
1185660.4.peg.2256	1
1185660.4.peg.2286	-1
1185660.4.peg.231	0
1185660.4.peg.2313	-1
1185660.4.peg.2317	0
1185660.4.peg.2318	0
1185660.4.peg.2328	1
1185660.4.peg.2330	1
1185660.4.peg.2331	-1
1185660.4.peg.2332	-1
1185660.4.peg.2334	0
1185660.4.peg.2336	0
1185660.4.peg.2337	0
1185660.4.peg.2338	0
1185660.4.peg.2339	0
1185660.4.peg.2340	-1
1185660.4.peg.2356	0
1185660.4.peg.2357	0
1185660.4.peg.2361	1
1185660.4.peg.2366	-1
1185660.4.peg.2385	-1
1185660.4.peg.2389	-1
1185660.4.peg.2392	-1
1185660.4.peg.2393	1
1185660.4.peg.2394	0
1185660.4.peg.2398	-1
1185660.4.peg.2405	-1
1185660.4.peg.2406	-1
1185660.4.peg.2408	1
1185660.4.peg.241	-1
1185660.4.peg.2410	1
1185660.4.peg.242	-1
1185660.4.peg.2423	-1
1185660.4.peg.2424	1
1185660.4.peg.2440	-1
1185660.4.peg.2464	-1
1185660.4.peg.2465	-1
1185660.4.peg.2487	1
1185660.4.peg.2496	-1
1185660.4.peg.2497	-1
1185660.4.peg.2498	-1
1185660.4.peg.2499	-1
1185660.4.peg.2500	-1
1185660.4.peg.2501	-1
1185660.4.peg.2502	-1
1185660.4.peg.2503	-1
1185660.4.peg.2504	-1
1185660.4.peg.2505	-1
1185660.4.peg.2506	-1
1185660.4.peg.2507	-1
1185660.4.peg.2510	0
1185660.4.peg.2511	1
1185660.4.peg.2513	-1
1185660.4.peg.2514	-1
1185660.4.peg.2516	0
1185660.4.peg.2522	-1
1185660.4.peg.2526	-1
1185660.4.peg.2559	0
1185660.4.peg.256	-1
1185660.4.peg.2561	1
1185660.4.peg.2584	0
1185660.4.peg.2585	0
1185660.4.peg.2586	0
1185660.4.peg.2588	0
1185660.4.peg.2592	-1
1185660.4.peg.2593	0
1185660.4.peg.2596	-1
1185660.4.peg.2598	1
1185660.4.peg.2599	1
1185660.4.peg.2600	1
1185660.4.peg.2601	-1
1185660.4.peg.2602	1
1185660.4.peg.2603	-1
1185660.4.peg.2604	1
1185660.4.peg.2605	1
1185660.4.peg.2606	1
1185660.4.peg.2607	-1
1185660.4.peg.2608	1
1185660.4.peg.2609	1
1185660.4.peg.2610	-1
1185660.4.peg.2611	-1
1185660.4.peg.2612	0
1185660.4.peg.2619	1
1185660.4.peg.2623	0
1185660.4.peg.2625	1
1185660.4.peg.2627	-1
1185660.4.peg.2628	0
1185660.4.peg.2630	0
1185660.4.peg.2631	0
1185660.4.peg.2632	0
1185660.4.peg.2635	0
1185660.4.peg.2648	0
1185660.4.peg.2659	-1
1185660.4.peg.2660	0
1185660.4.peg.2666	0
1185660.4.peg.2668	0
1185660.4.peg.2670	1
1185660.4.peg.2692	0
1185660.4.peg.2694	0
1185660.4.peg.2695	0
1185660.4.peg.2704	1
1185660.4.peg.2706	0
1185660.4.peg.2742	0
1185660.4.peg.2743	0
1185660.4.peg.2745	0
1185660.4.peg.2756	0
1185660.4.peg.2759	-1
1185660.4.peg.2760	-1
1185660.4.peg.2761	-1
1185660.4.peg.2762	-1
1185660.4.peg.2768	0
1185660.4.peg.2778	0
1185660.4.peg.2786	-1
1185660.4.peg.2787	0
1185660.4.peg.2792	0
1185660.4.peg.2793	0
1185660.4.peg.2795	0
1185660.4.peg.2797	0
1185660.4.peg.2799	-1
1185660.4.peg.2801	-1
1185660.4.peg.2802	-1
1185660.4.peg.2807	-1
1185660.4.peg.2814	0
1185660.4.peg.2826	0
1185660.4.peg.2831	0
1185660.4.peg.2837	0
1185660.4.peg.2843	0
1185660.4.peg.2847	0
1185660.4.peg.285	0
1185660.4.peg.2853	0
1185660.4.peg.2856	-1
1185660.4.peg.2862	-1
1185660.4.peg.2865	-1
1185660.4.peg.2885	-1
1185660.4.peg.2887	1
1185660.4.peg.2892	-1
1185660.4.peg.2895	-1
1185660.4.peg.29	0
1185660.4.peg.2916	-1
1185660.4.peg.2925	-1
1185660.4.peg.2926	-1
1185660.4.peg.2927	-1
1185660.4.peg.2928	-1
1185660.4.peg.2929	0
1185660.4.peg.2932	-1
1185660.4.peg.2947	-1
1185660.4.peg.2949	-1
1185660.4.peg.295	-1
1185660.4.peg.2954	-1
1185660.4.peg.2968	-1
1185660.4.peg.2969	1
1185660.4.peg.2970	1
1185660.4.peg.2971	1
1185660.4.peg.2972	1
1185660.4.peg.2973	0
1185660.4.peg.2976	-1
1185660.4.peg.2978	-1
1185660.4.peg.2979	-1
1185660.4.peg.2982	1
1185660.4.peg.2984	0
1185660.4.peg.2992	0
1185660.4.peg.302	-1
1185660.4.peg.3027	1
1185660.4.peg.3035	0
1185660.4.peg.3039	-1
1185660.4.peg.306	-1
1185660.4.peg.3063	0
1185660.4.peg.307	-1
1185660.4.peg.3070	0
1185660.4.peg.3096	0
1185660.4.peg.31	0
1185660.4.peg.3107	-1
1185660.4.peg.3113	-1
1185660.4.peg.3116	-1
1185660.4.peg.3117	1
1185660.4.peg.3119	0
1185660.4.peg.3122	0
1185660.4.peg.3128	0
1185660.4.peg.3138	0
1185660.4.peg.3151	0
1185660.4.peg.3164	0
1185660.4.peg.3168	0
1185660.4.peg.3171	0
1185660.4.peg.3174	-1
1185660.4.peg.3178	-1
1185660.4.peg.3179	1
1185660.4.peg.3193	0
1185660.4.peg.32	0
1185660.4.peg.3200	-1
1185660.4.peg.3201	0
1185660.4.peg.3213	0
1185660.4.peg.3216	1
1185660.4.peg.3217	-1
1185660.4.peg.3218	0
1185660.4.peg.3221	0
1185660.4.peg.3224	1
1185660.4.peg.3239	0
1185660.4.peg.3241	0
1185660.4.peg.3245	0
1185660.4.peg.3247	0
1185660.4.peg.325	0
1185660.4.peg.3251	-1
1185660.4.peg.3257	0
1185660.4.peg.3265	-1
1185660.4.peg.3266	0
1185660.4.peg.3270	-1
1185660.4.peg.3276	-1
1185660.4.peg.3279	0
1185660.4.peg.3280	0
1185660.4.peg.3281	0
1185660.4.peg.3282	-1
1185660.4.peg.3284	0
1185660.4.peg.3285	0
1185660.4.peg.3286	0
1185660.4.peg.3294	0
1185660.4.peg.3295	0
1185660.4.peg.3296	-1
1185660.4.peg.3300	0
1185660.4.peg.3301	-1
1185660.4.peg.3316	-1
1185660.4.peg.3321	-1
1185660.4.peg.3324	1
1185660.4.peg.3339	1
1185660.4.peg.334	0
1185660.4.peg.3346	-1
1185660.4.peg.3347	0
1185660.4.peg.3352	-1
1185660.4.peg.3353	0
1185660.4.peg.3354	-1
1185660.4.peg.3355	-1
1185660.4.peg.3356	0
1185660.4.peg.3364	-1
1185660.4.peg.3367	-1
1185660.4.peg.3369	0
1185660.4.peg.337	1
1185660.4.peg.3371	0
1185660.4.peg.3372	0
1185660.4.peg.3376	-1
1185660.4.peg.3381	0
1185660.4.peg.339	0
1185660.4.peg.3392	-1
1185660.4.peg.3404	0
1185660.4.peg.3416	-1
1185660.4.peg.3417	-1
1185660.4.peg.3418	1
1185660.4.peg.3419	1
1185660.4.peg.3420	-1
1185660.4.peg.3421	1
1185660.4.peg.3422	1
1185660.4.peg.3428	0
1185660.4.peg.3442	-1
1185660.4.peg.3465	0
1185660.4.peg.3472	0
1185660.4.peg.3475	0
1185660.4.peg.3482	0
1185660.4.peg.3500	0
1185660.4.peg.354	-1
1185660.4.peg.3578	0
1185660.4.peg.3581	1
1185660.4.peg.3583	0
1185660.4.peg.3586	0
1185660.4.peg.3594	0
1185660.4.peg.3595	1
1185660.4.peg.3601	0
1185660.4.peg.3611	0
1185660.4.peg.3628	-1
1185660.4.peg.3634	1
1185660.4.peg.3638	0
1185660.4.peg.3639	-1
1185660.4.peg.3662	0
1185660.4.peg.3663	0
1185660.4.peg.3665	-1
1185660.4.peg.3669	0
1185660.4.peg.3677	0
1185660.4.peg.3680	0
1185660.4.peg.3682	1
1185660.4.peg.3688	0
1185660.4.peg.3692	0
1185660.4.peg.3699	0
1185660.4.peg.3703	-1
1185660.4.peg.3717	0
1185660.4.peg.3719	0
1185660.4.peg.3721	-1
1185660.4.peg.3722	1
1185660.4.peg.3723	1
1185660.4.peg.3724	1
1185660.4.peg.3725	-1
1185660.4.peg.3732	1
1185660.4.peg.3734	1
1185660.4.peg.3735	-1
1185660.4.peg.3742	0
1185660.4.peg.3743	0
1185660.4.peg.375	-1
1185660.4.peg.3753	-1
1185660.4.peg.3755	0
1185660.4.peg.3765	1
1185660.4.peg.3766	1
1185660.4.peg.3769	0
1185660.4.peg.3772	0
1185660.4.peg.3780	0
1185660.4.peg.3784	0
1185660.4.peg.3788	0
1185660.4.peg.3789	0
1185660.4.peg.3792	1
1185660.4.peg.3803	-1
1185660.4.peg.3804	0
1185660.4.peg.3842	-1
1185660.4.peg.3858	0
1185660.4.peg.3862	-1
1185660.4.peg.3879	-1
1185660.4.peg.3883	-1
1185660.4.peg.3888	0
1185660.4.peg.392	-1
1185660.4.peg.3922	0
1185660.4.peg.393	-1
1185660.4.peg.3934	-1
1185660.4.peg.396	-1
1185660.4.peg.3977	0
1185660.4.peg.3978	0
1185660.4.peg.3987	-1
1185660.4.peg.3988	-1
1185660.4.peg.3996	0
1185660.4.peg.401	-1
1185660.4.peg.4025	-1
1185660.4.peg.403	-1
1185660.4.peg.4036	-1
1185660.4.peg.4039	-1
1185660.4.peg.4046	0
1185660.4.peg.4047	0
1185660.4.peg.4053	-1
1185660.4.peg.4059	0
1185660.4.peg.4064	-1
1185660.4.peg.4073	-1
1185660.4.peg.4083	-1
1185660.4.peg.4088	-1
1185660.4.peg.409	-1
1185660.4.peg.4092	-1
1185660.4.peg.4095	-1
1185660.4.peg.4102	0
1185660.4.peg.4105	0
1185660.4.peg.4114	0
1185660.4.peg.412	-1
1185660.4.peg.4127	-1
1185660.4.peg.4131	0
1185660.4.peg.414	-1
1185660.4.peg.415	-1
1185660.4.peg.4161	1
1185660.4.peg.4173	-1
1185660.4.peg.419	0
1185660.4.peg.4204	0
1185660.4.peg.4208	0
1185660.4.peg.4230	0
1185660.4.peg.4233	0
1185660.4.peg.4235	0
1185660.4.peg.424	1
1185660.4.peg.4241	1
1185660.4.peg.4242	1
1185660.4.peg.4250	-1
1185660.4.peg.4257	0
1185660.4.peg.426	1
1185660.4.peg.4309	0
1185660.4.peg.4324	0
1185660.4.peg.4342	0
1185660.4.peg.4372	1
1185660.4.peg.4396	1
1185660.4.peg.4403	1
1185660.4.peg.4413	-1
1185660.4.peg.4422	-1
1185660.4.peg.444	0
1185660.4.peg.4445	0
1185660.4.peg.449	0
1185660.4.peg.450	0
1185660.4.peg.4515	-1
1185660.4.peg.452	0
1185660.4.peg.4522	-1
1185660.4.peg.4523	-1
1185660.4.peg.4534	0
1185660.4.peg.4539	-1
1185660.4.peg.454	0
1185660.4.peg.4540	1
1185660.4.peg.4542	-1
1185660.4.peg.4543	0
1185660.4.peg.4549	-1
1185660.4.peg.455	0
1185660.4.peg.4551	0
1185660.4.peg.4558	-1
1185660.4.peg.4561	0
1185660.4.peg.4566	0
1185660.4.peg.4569	0
1185660.4.peg.457	1
1185660.4.peg.4572	1
1185660.4.peg.4573	1
1185660.4.peg.459	0
1185660.4.peg.460	-1
1185660.4.peg.461	-1
1185660.4.peg.487	0
1185660.4.peg.493	0
1185660.4.peg.495	0
1185660.4.peg.496	-1
1185660.4.peg.502	-1
1185660.4.peg.503	-1
1185660.4.peg.511	1
1185660.4.peg.513	-1
1185660.4.peg.524	0
1185660.4.peg.528	-1
1185660.4.peg.542	0
1185660.4.peg.543	0
1185660.4.peg.544	0
1185660.4.peg.547	-1
1185660.4.peg.548	-1
1185660.4.peg.580	-1
1185660.4.peg.596	-1
1185660.4.peg.604	0
1185660.4.peg.609	0
1185660.4.peg.633	-1
1185660.4.peg.638	-1
1185660.4.peg.639	-1
1185660.4.peg.640	-1
1185660.4.peg.655	0
1185660.4.peg.659	1
1185660.4.peg.664	0
1185660.4.peg.668	1
1185660.4.peg.673	-1
1185660.4.peg.676	-1
1185660.4.peg.677	-1
1185660.4.peg.7	0
1185660.4.peg.705	1
1185660.4.peg.706	0
1185660.4.peg.709	-1
1185660.4.peg.710	-1
1185660.4.peg.711	-1
1185660.4.peg.715	-1
1185660.4.peg.721	0
1185660.4.peg.722	-1
1185660.4.peg.727	-1
1185660.4.peg.746	0
1185660.4.peg.747	0
1185660.4.peg.749	-1
1185660.4.peg.751	-1
1185660.4.peg.752	-1
1185660.4.peg.753	-1
1185660.4.peg.760	0
1185660.4.peg.767	0
1185660.4.peg.769	0
1185660.4.peg.772	1
1185660.4.peg.774	-1
1185660.4.peg.777	1
1185660.4.peg.779	1
1185660.4.peg.78	-1
1185660.4.peg.781	-1
1185660.4.peg.785	-1
1185660.4.peg.786	-1
1185660.4.peg.787	-1
1185660.4.peg.798	0
1185660.4.peg.799	0
1185660.4.peg.800	0
1185660.4.peg.817	0
1185660.4.peg.819	0
1185660.4.peg.821	0
1185660.4.peg.826	-1
1185660.4.peg.833	0
1185660.4.peg.84	-1
1185660.4.peg.847	-1
1185660.4.peg.85	-1
1185660.4.peg.859	1
1185660.4.peg.865	1
1185660.4.peg.866	0
1185660.4.peg.87	1
1185660.4.peg.873	-1
1185660.4.peg.874	-1
1185660.4.peg.875	-1
1185660.4.peg.876	-1
1185660.4.peg.88	1
1185660.4.peg.885	-1
1185660.4.peg.890	0
1185660.4.peg.892	0
1185660.4.peg.9	0
1185660.4.peg.90	1
1185660.4.peg.901	0
1185660.4.peg.902	0
1185660.4.peg.903	-1
1185660.4.peg.905	-1
1185660.4.peg.907	-1
1185660.4.peg.910	-1
1185660.4.peg.912	0
1185660.4.peg.916	-1
1185660.4.peg.917	-1
1185660.4.peg.930	0
1185660.4.peg.933	1
1185660.4.peg.941	0
1185660.4.peg.945	0
1185660.4.peg.950	-1
1185660.4.peg.953	0
1185660.4.peg.959	1
1185660.4.peg.966	-1
1185660.4.peg.974	0
1185660.4.peg.977	1
1185660.4.peg.978	1
1185660.4.peg.987	-1
1185660.4.peg.988	-1
1185660.4.peg.989	-1
1185660.4.peg.99	0
1185660.4.peg.990	1
1185660.4.peg.991	1
1185660.4.peg.992	-1
1185660.4.peg.993	-1
1185660.4.peg.999	-1
